Force: 1, Agilité: 3, Constitution: 6, Intelligence: 6
Force: 4, Agilité: 4, Constitution: 6, Intelligence: 2
Force: 4, Agilité: 5, Constitution: 1, Intelligence: 6
Force: 4, Agilité: 5, Constitution: 2, Intelligence: 5
Force: 4, Agilité: 5, Constitution: 3, Intelligence: 4
Force: 4, Agilité: 5, Constitution: 4, Intelligence: 3
Force: 4, Agilité: 5, Constitution: 5, Intelligence: 2
Force: 4, Agilité: 5, Constitution: 6, Intelligence: 1
Force: 4, Agilité: 6, Constitution: 1, Intelligence: 5
Force: 4, Agilité: 6, Constitution: 2, Intelligence: 4
Force: 4, Agilité: 6, Constitution: 3, Intelligence: 3
Force: 4, Agilité: 6, Constitution: 4, Intelligence: 2
Force: 4, Agilité: 6, Constitution: 5, Intelligence: 1
Force: 5, Agilité: 1, Constitution: 4, Intelligence: 6
Force: 5, Agilité: 1, Constitution: 5, Intelligence: 5
Force: 5, Agilité: 1, Constitution: 6, Intelligence: 4
Force: 5, Agilité: 2, Constitution: 3, Intelligence: 6
Force: 5, Agilité: 2, Constitution: 4, Intelligence: 5
Force: 5, Agilité: 2, Constitution: 5, Intelligence: 4
Force: 5, Agilité: 2, Constitution: 6, Intelligence: 3
Force: 5, Agilité: 3, Constitution: 2, Intelligence: 6
Force: 5, Agilité: 3, Constitution: 3, Intelligence: 5
Force: 5, Agilité: 3, Constitution: 4, Intelligence: 4
Force: 5, Agilité: 3, Constitution: 5, Intelligence: 3
Force: 5, Agilité: 3, Constitution: 6, Intelligence: 2
Force: 5, Agilité: 4, Constitution: 1, Intelligence: 6
Force: 5, Agilité: 4, Constitution: 2, Intelligence: 5
Force: 5, Agilité: 4, Constitution: 3, Intelligence: 4
Force: 5, Agilité: 4, Constitution: 4, Intelligence: 3
Force: 5, Agilité: 4, Constitution: 5, Intelligence: 2
Force: 5, Agilité: 4, Constitution: 6, Intelligence: 1
Force: 5, Agilité: 5, Constitution: 1, Intelligence: 5
Force: 5, Agilité: 5, Constitution: 2, Intelligence: 4
Force: 5, Agilité: 5, Constitution: 3, Intelligence: 3
Force: 5, Agilité: 5, Constitution: 4, Intelligence: 2
Force: 5, Agilité: 5, Constitution: 5, Intelligence: 1
Force: 5, Agilité: 6, Constitution: 1, Intelligence: 4
Force: 5, Agilité: 6, Constitution: 2, Intelligence: 3
Force: 5, Agilité: 6, Constitution: 3, Intelligence: 2
Force: 5, Agilité: 6, Constitution: 4, Intelligence: 1
Force: 6, Agilité: 1, Constitution: 3, Intelligence: 6
Force: 6, Agilité: 1, Constitution: 4, Intelligence: 5
Force: 6, Agilité: 1, Constitution: 5, Intelligence: 4
Force: 6, Agilité: 1, Constitution: 6, Intelligence: 3
Force: 6, Agilité: 2, Constitution: 2, Intelligence: 6
Force: 6, Agilité: 2, Constitution: 3, Intelligence: 5
Force: 6, Agilité: 2, Constitution: 4, Intelligence: 4
Force: 6, Agilité: 2, Constitution: 5, Intelligence: 3
Force: 6, Agilité: 2, Constitution: 6, Intelligence: 2
Force: 6, Agilité: 3, Constitution: 1, Intelligence: 6
Force: 6, Agilité: 3, Constitution: 2, Intelligence: 5
Force: 6, Agilité: 3, Constitution: 3, Intelligence: 4
Force: 6, Agilité: 3, Constitution: 4, Intelligence: 3
Force: 6, Agilité: 3, Constitution: 5, Intelligence: 2
Force: 6, Agilité: 3, Constitution: 6, Intelligence: 1
Force: 6, Agilité: 4, Constitution: 1, Intelligence: 5
Force: 6, Agilité: 4, Constitution: 2, Intelligence: 4
Force: 6, Agilité: 4, Constitution: 3, Intelligence: 3
Force: 6, Agilité: 4, Constitution: 4, Intelligence: 2
Force: 6, Agilité: 4, Constitution: 5, Intelligence: 1
Force: 6, Agilité: 5, Constitution: 1, Intelligence: 4
Force: 6, Agilité: 5, Constitution: 2, Intelligence: 3
Force: 6, Agilité: 5, Constitution: 3, Intelligence: 2
Force: 6, Agilité: 5, Constitution: 4, Intelligence: 1
Force: 6, Agilité: 6, Constitution: 1, Intelligence: 3
Force: 6, Agilité: 6, Constitution: 2, Intelligence: 2
Force: 6, Agilité: 6, Constitution: 3, Intelligence: 1
